Date,Close,Dividends
2021-01-04,309.31,0
2021-01-25,324.02,0
2021-02-25,312.85,0
2021-03-25,315.22,0.39
2021-04-26,339.43,0
2021-05-25,331.41,0
2021-06-25,350.72,0.40
2021-07-26,365.14,0
2021-08-25,373.41,0
2021-09-27,359.87,0.41
2021-10-25,381.12,0
2021-11-25,397.44,0
2021-12-27,403.99,0.49
2022-01-25,351.72,0
2022-02-25,345.11,0
2022-03-25,359.03,0.43
2022-04-25,321.48,0
2022-05-25,301.25,0
2022-06-27,287.94,0.53
2022-07-25,301.88,0
2022-08-25,318.23,0
2022-09-26,270.46,0.52
2022-10-25,282.14,0
2022-11-25,293.91,0
2022-12-27,263.42,0.65
2023-01-25,291.87,0
2023-02-27,294.62,0
2023-03-27,306.11,0.47
2023-04-25,315.76,0
2023-05-25,335.18,0
2023-06-26,363.42,0.50
2023-07-25,378.91,0
2023-08-25,364.22,0
2023-09-25,357.71,0.54
2023-10-25,345.36,0
2023-11-27,388.12,0
2023-12-26,407.83,0.62
