Date,Close,Dividends
2021-01-04,39.12,0
2021-01-25,44.91,0
2021-02-25,40.18,0
2021-03-25,41.36,0
2021-04-26,51.47,0
2021-05-25,47.83,0
2021-06-25,56.91,0
2021-07-26,63.28,0
2021-08-25,68.94,0
2021-09-27,59.18,0
2021-10-25,72.66,0
2021-11-25,83.14,0
2021-12-27,86.31,0
2022-01-25,56.72,0
2022-02-25,51.43,0
2022-03-25,57.88,0
2022-04-25,40.16,0
2022-05-25,32.77,0
2022-06-27,27.58,0
2022-07-25,33.91,0
2022-08-25,39.26,0
2022-09-26,23.12,0
2022-10-25,26.93,0
2022-11-25,29.67,0
2022-12-27,20.41,0
2023-01-25,27.84,0
2023-02-27,28.93,0
2023-03-27,32.61,0
2023-04-25,35.44,0
2023-05-25,43.12,0
2023-06-26,55.37,0
2023-07-25,64.22,0
2023-08-25,56.18,0
2023-09-25,52.83,0
2023-10-25,46.42,0
2023-11-27,64.59,0
2023-12-26,73.14,0
