Date,Close,Dividends
2021-01-04,343.77,0
2021-01-25,352.06,0
2021-02-25,359.31,0
2021-03-25,364.22,1.26
2021-04-26,383.66,0
2021-05-25,386.94,0
2021-06-25,394.21,1.33
2021-07-26,405.12,0
2021-08-25,413.59,0
2021-09-27,406.03,1.31
2021-10-25,424.28,0
2021-11-25,430.11,0
2021-12-27,437.52,1.53
2022-01-25,401.77,0
2022-02-25,399.03,0
2022-03-25,415.88,1.37
2022-04-25,395.61,0
2022-05-25,371.85,0
2022-06-27,357.49,1.43
2022-07-25,366.94,0
2022-08-25,381.46,0
2022-09-26,337.18,1.47
2022-10-25,353.71,0
2022-11-25,371.42,0
2022-12-27,349.64,1.67
2023-01-25,370.39,0
2023-02-27,365.18,0
2023-03-27,366.83,1.49
2023-04-25,378.91,0
2023-05-25,382.46,0
2023-06-26,401.12,1.58
2023-07-25,417.59,0
2023-08-25,410.43,0
2023-09-25,398.73,1.49
2023-10-25,386.82,0
2023-11-27,418.91,0
2023-12-26,437.22,1.80
